appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
3910,Sid Meier's Civilization III Complete,Firaxis Games,2K,,4355,543,0,"1,000,000 .. 2,000,000",525,26,355,26,499,499,0,English,Strategy,1573,"{'Strategy': 301, 'Turn-Based Strategy': 206, 'Turn-Based': 131, 'Classic': 127, '4X': 117, 'Historical': 112, 'Singleplayer': 87, 'Replay Value': 70, 'Multiplayer': 65, 'Simulation': 55, 'Military': 54, 'Exploration': 52, 'Grand Strategy': 52, 'Addictive': 41, 'City Builder': 27, 'Old School': 20, 'War': 13, 'Isometric': 7, 'Alternate History': 5, 'Diplomacy': 5}"
3990,Civilization IV: Warlords,Firaxis Games,2K,,251,27,0,"1,000,000 .. 2,000,000",607,0,643,0,499,499,0,"English, French, German, Italian, Spanish - Spain",Strategy,213,"{'Strategy': 93, 'Turn-Based': 45, '4X': 43, 'Turn-Based Strategy': 42, 'Historical': 17, 'Singleplayer': 10, 'Multiplayer': 9, 'Local Multiplayer': 5}"
4000,Garry's Mod,Facepunch Studios,Valve,,671838,24067,0,"20,000,000 .. 50,000,000",10469,647,1401,186,999,999,0,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Indie, Simulation",38657,"{'Sandbox': 16957, 'Multiplayer': 13191, 'Funny': 11758, 'Moddable': 9336, 'Building': 9146, 'Comedy': 7935, 'Co-op': 7861, 'Mod': 7689, 'First-Person': 7575, 'Physics': 6429, 'Simulation': 6379, 'Online Co-Op': 6210, 'FPS': 5863, 'Singleplayer': 5760, 'Action': 5296, 'Shooter': 5090, 'Animation & Modeling': 5081, 'Indie': 4805, 'Massively Multiplayer': 4447, 'Adventure': 4446}"
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,GSC Game World,,20826,923,0,"1,000,000 .. 2,000,000",1032,1,417,1,1999,1999,0,"English, French, Italian, Spanish - Spain, German, Russian, Ukrainian, Polish","Action, RPG",502,"{'Atmospheric': 1279, 'Post-apocalyptic': 1153, 'Open World': 1109, 'FPS': 1022, 'Survival': 834, 'Action': 642, 'RPG': 530, 'Survival Horror': 494, 'Shooter': 493, 'Horror': 448, 'First-Person': 429, 'Singleplayer': 411, 'Classic': 392, 'Based On A Novel': 333, 'Moddable': 323, 'Adventure': 314, 'Sci-fi': 266, 'Immersive': 262, 'Inventory Management': 226, 'Difficult': 209}"
4560,Company of Heroes - Legacy Edition,Relic Entertainment,SEGA,,5467,377,0,"2,000,000 .. 5,000,000",422,2,123,2,1999,1999,0,"English, French, Spanish - Spain, Italian, German, Czech, Japanese, Korean, Polish, Russian, Traditional Chinese","Action, Strategy",146,"{'Strategy': 552, 'World War II': 452, 'RTS': 446, 'Multiplayer': 269, 'Military': 266, 'Action': 257, 'Tactical': 249, 'Singleplayer': 233, 'War': 188, 'Base-Building': 179, 'Historical': 149, 'Tanks': 140, 'Co-op': 95, 'Moddable': 95, 'Simulation': 67, 'Epic': 50, 'Classic': 37, 'Team-Based': 31, 'Addictive': 26, 'Adventure': 22}"
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",Relic Entertainment,SEGA,,5886,296,0,"500,000 .. 1,000,000",197,274,138,274,1299,1299,0,"English, French, German, Italian, Spanish - Spain",Strategy,137,"{'Strategy': 360, 'Warhammer 40K': 292, 'RTS': 277, 'Base-Building': 173, 'Sci-fi': 153, 'Multiplayer': 139, 'Real-Time': 121, 'Games Workshop': 118, 'Tactical': 110, 'Singleplayer': 107, 'War': 70, 'Classic': 59, 'Action': 58, 'Gore': 36, 'Fantasy': 27, 'Great Soundtrack': 26, 'Epic': 23, 'Futuristic': 23, 'Story Rich': 22, 'Atmospheric': 5}"
4580,"Warhammer 40,000: Dawn of War - Dark Crusade",Relic Entertainment,SEGA,,5259,182,0,"1,000,000 .. 2,000,000",821,0,705,0,1299,1299,0,"English, French, German, Italian, Spanish - Spain",Strategy,393,"{'Strategy': 278, 'Warhammer 40K': 254, 'RTS': 208, 'Base-Building': 136, 'Sci-fi': 134, 'Multiplayer': 125, 'Singleplayer': 100, 'Games Workshop': 94, 'Classic': 78, 'Real-Time': 78, 'War': 58, 'Action': 44, 'Tactical': 42, 'Atmospheric': 35, 'Gore': 31, 'Co-op': 28, 'Fantasy': 25, 'Space': 20, 'Adventure': 16, 'FPS': 5}"
4700,Total War: MEDIEVAL II – Definitive Edition,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,20465,915,0,"2,000,000 .. 5,000,000",2314,247,682,493,624,2499,75,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian",Strategy,5556,"{'Strategy': 618, 'Medieval': 458, 'Historical': 351, 'Turn-Based Strategy': 306, 'Grand Strategy': 286, 'War': 257, 'RTS': 246, 'Tactical': 214, 'Singleplayer': 183, 'Multiplayer': 173, 'Moddable': 144, 'Military': 143, 'Turn-Based': 134, 'Real Time Tactics': 127, 'Classic': 111, 'Simulation': 95, 'Action': 75, 'Sandbox': 63, 'Great Soundtrack': 57, '4X': 34}"
4760,Rome: Total War - Collection,CREATIVE ASSEMBLY,SEGA,,12637,751,0,"1,000,000 .. 2,000,000",2517,0,206,0,0,0,0,English,Strategy,1762,"{'Strategy': 526, 'Historical': 321, 'Rome': 289, 'Turn-Based Strategy': 262, 'RTS': 234, 'Grand Strategy': 223, 'Classic': 200, 'Tactical': 185, 'War': 167, 'Great Soundtrack': 144, 'Multiplayer': 141, 'Singleplayer': 135, 'Turn-Based': 128, 'Moddable': 112, 'Real Time Tactics': 85, 'Action': 53, 'Atmospheric': 48, 'Simulation': 45, '4X': 37, 'Medieval': 17}"
4920,Natural Selection 2,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,10148,1727,0,"1,000,000 .. 2,000,000",347,0,132,0,999,999,0,"English, French, German, Spanish - Spain, Polish, Russian, Finnish, Romanian, Swedish, Czech","Action, Indie, Strategy",230,"{'Multiplayer': 620, 'Strategy': 595, 'FPS': 572, 'Team-Based': 508, 'Action': 464, 'Sci-fi': 390, 'RTS': 372, 'Aliens': 323, 'Indie': 310, 'Competitive': 261, 'Shooter': 209, 'Co-op': 188, 'Tactical': 177, 'Moddable': 174, 'First-Person': 148, 'Space': 123, 'Futuristic': 115, 'Atmospheric': 113, 'Online Co-Op': 110, 'Adventure': 46}"
6000,STAR WARS Republic Commando,LucasArts,"LucasArts, Lucasfilm, Disney",,10463,509,0,"2,000,000 .. 5,000,000",174,0,67,0,999,999,0,"English, French, German, Italian, Spanish - Spain",Action,121,"{'Action': 393, 'FPS': 390, 'Tactical': 317, 'Sci-fi': 270, 'Singleplayer': 258, 'Shooter': 235, 'First-Person': 194, 'Classic': 191, 'Multiplayer': 171, 'Great Soundtrack': 155, 'Space': 140, 'Atmospheric': 140, 'Epic': 119, 'Adventure': 113, 'Team-Based': 111, 'War': 93, 'Co-op': 86, 'Strategy': 78, 'Dark': 52, 'Futuristic': 33}"
6020,STAR WARS Jedi Knight - Jedi Academy,Raven Software,"LucasArts, Lucasfilm, Disney",,10038,430,0,"1,000,000 .. 2,000,000",366,178,301,178,999,999,0,"English, French, German, Spanish - Spain",Action,170,"{'Action': 236, 'Sci-fi': 145, 'Third Person': 143, 'Multiplayer': 138, 'Classic': 122, 'Singleplayer': 116, 'Swordplay': 112, 'Moddable': 111, 'FPS': 109, 'Character Customization': 108, 'Adventure': 101, 'Shooter': 96, 'RPG': 72, 'First-Person': 72, 'Third-Person Shooter': 57, 'Great Soundtrack': 49, 'Hack and Slash': 44, 'Female Protagonist': 35, 'Fighting': 33, 'Story Rich': 12}"
6060,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,"Lucasfilm, LucasArts, Disney",,41450,2697,0,"2,000,000 .. 5,000,000",457,33,145,36,999,999,0,English,Action,451,"{'Action': 834, 'Multiplayer': 752, 'Shooter': 698, 'Third-Person Shooter': 684, 'Classic': 680, 'Sci-fi': 674, 'Space': 668, 'FPS': 600, 'First-Person': 464, 'Singleplayer': 417, 'Moddable': 359, 'Third Person': 347, 'Military': 337, 'Co-op': 250, 'Tactical': 242, 'Great Soundtrack': 231, 'Strategy': 230, 'Adventure': 189, 'Addictive': 157, 'Epic': 141}"
6850,Hitman 2: Silent Assassin,Io-Interactive A/S,Io-Interactive A/S,,2158,397,0,"1,000,000 .. 2,000,000",239,0,392,0,899,899,0,English,Action,31,"{'Stealth': 194, 'Action': 138, 'Third Person': 80, 'Singleplayer': 71, 'Assassin': 70, 'Classic': 65, 'Shooter': 52, 'Sandbox': 41, 'Great Soundtrack': 39, 'Old School': 31, 'Difficult': 27, 'Adventure': 21, 'Gore': 19, 'FPS': 19, 'First-Person': 15, 'Crime': 14, 'Atmospheric': 13, 'Tactical': 10, 'Story Rich': 8, 'Third-Person Shooter': 7}"
6860,Hitman: Blood Money,Io-Interactive A/S,Io-Interactive A/S,,8512,529,0,"1,000,000 .. 2,000,000",358,0,127,0,999,999,0,English,Action,81,"{'Stealth': 436, 'Action': 260, 'Assassin': 183, 'Singleplayer': 181, 'Third Person': 170, 'Classic': 156, 'Great Soundtrack': 103, 'Third-Person Shooter': 85, 'Cult Classic': 84, 'Sandbox': 79, 'Puzzle': 77, 'Replay Value': 62, 'Crime': 62, 'Shooter': 59, 'Atmospheric': 56, 'Difficult': 49, 'First-Person': 45, 'Strategy': 42, 'Dark': 38, 'Simulation': 22}"
6880,Just Cause,Avalanche Studios,Square Enix,,2416,1218,0,"1,000,000 .. 2,000,000",176,0,28,0,699,699,0,"English, French, German, Italian, Spanish - Spain",Action,24,"{'Action': 156, 'Open World': 141, 'Shooter': 78, 'Third Person': 73, 'Singleplayer': 69, 'Adventure': 63, 'Sandbox': 59, 'Third-Person Shooter': 48, 'Classic': 40, 'Multiplayer': 26, 'Controller': 18, 'Atmospheric': 16, 'Great Soundtrack': 15, 'Action RPG': 11, 'Violent': 5}"
6900,Hitman: Codename 47,IO Interactive A/S,IO Interactive A/S,,1762,668,0,"1,000,000 .. 2,000,000",75,0,37,0,799,799,0,"English, French, Italian, German, Spanish - Spain",Action,15,"{'Stealth': 163, 'Action': 112, 'Classic': 77, 'Assassin': 69, 'Singleplayer': 62, 'Third Person': 53, 'Shooter': 32, 'Difficult': 31, 'Third-Person Shooter': 26, 'Sandbox': 20, 'Atmospheric': 17, 'Great Soundtrack': 15, 'Adventure': 12, 'Crime': 10, 'Strategy': 8, 'Tactical': 8, 'Open World': 6}"
6910,Deus Ex: Game of the Year Edition,Ion Storm,Square Enix,,9508,507,0,"1,000,000 .. 2,000,000",173,0,68,0,699,699,0,English,Action,84,"{'Cyberpunk': 970, 'RPG': 801, 'Stealth': 690, 'Classic': 640, 'FPS': 589, 'Sci-fi': 550, 'Cult Classic': 478, 'Action': 447, 'Singleplayer': 409, 'Dystopian ': 373, 'Immersive Sim': 352, 'Story Rich': 324, 'Inventory Management': 313, 'Great Soundtrack': 300, 'First-Person': 248, 'Atmospheric': 224, 'Moddable': 216, 'Conspiracy': 216, 'Action RPG': 148, 'Shooter': 129}"
6920,Deus Ex: Invisible War,Ion Storm,Square Enix,,920,660,0,"1,000,000 .. 2,000,000",18,0,31,0,699,699,0,English,Action,4,"{'Cyberpunk': 137, 'Action': 134, 'RPG': 120, 'FPS': 119, 'Sci-fi': 119, 'Stealth': 102, 'Singleplayer': 93, 'Immersive Sim': 76, 'Transhumanism': 56, 'First-Person': 46, 'Dystopian ': 38, 'Female Protagonist': 37, 'Shooter': 35, 'Story Rich': 31, 'Atmospheric': 26, 'Classic': 20, 'Action RPG': 20, 'Conspiracy': 19, 'Illuminati': 19, 'Adventure': 15}"
7670,BioShock,"2K Boston, 2K Australia",2K,,23784,1396,0,"2,000,000 .. 5,000,000",389,0,296,0,659,1999,67,"English, French, German, Italian, Spanish - Spain","Action, RPG",170,"{'FPS': 1264, 'Atmospheric': 977, 'Story Rich': 931, 'Action': 929, 'Singleplayer': 852, 'Horror': 676, 'Steampunk': 658, 'First-Person': 597, 'Shooter': 561, 'Sci-fi': 467, 'RPG': 449, 'Classic': 421, 'Adventure': 375, 'Dystopian ': 355, 'Underwater': 321, 'Immersive': 312, 'Dark': 275, 'Political': 274, 'Great Soundtrack': 199, 'Alternate History': 169}"
7760,X-COM: UFO Defense,"MicroProse Software, Inc",2K,,2780,164,0,"1,000,000 .. 2,000,000",42,0,28,0,499,499,0,English,Strategy,48,"{'Strategy': 298, 'Classic': 249, 'Turn-Based Strategy': 203, 'Sci-fi': 171, 'Turn-Based': 165, 'Aliens': 160, 'Tactical': 150, 'Singleplayer': 124, 'Turn-Based Tactics': 116, 'Difficult': 103, 'Old School': 65, 'Isometric': 64, 'Unforgiving': 62, 'Base-Building': 56, 'Addictive': 46, 'Simulation': 42, ""1990's"": 42, 'Retro': 41, 'Atmospheric': 36, 'Action': 17}"
7940,Call of Duty 4: Modern Warfare,Infinity Ward,Activision,,13516,1060,0,"1,000,000 .. 2,000,000",1111,83,507,148,999,1999,50,"English, French, German, Italian, Spanish - Spain",Action,781,"{'FPS': 630, 'Action': 510, 'Multiplayer': 484, 'Shooter': 361, 'First-Person': 298, 'Singleplayer': 290, 'Classic': 268, 'Military': 226, 'War': 212, 'PvP': 130, 'Great Soundtrack': 114, 'Linear': 113, 'Modern': 109, 'Co-op': 107, 'Story Rich': 105, 'Atmospheric': 90, 'Moddable': 81, 'Controller': 75, 'Competitive': 73, 'Zombies': 62}"
8190,Just Cause 2,Avalanche Studios,Square Enix,,40987,4063,0,"2,000,000 .. 5,000,000",690,205,225,410,1499,1499,0,"English, French, German, Italian, Spanish - Spain, Polish, Russian","Action, Adventure",258,"{'Open World': 1640, 'Action': 1347, 'Sandbox': 841, 'Third Person': 825, 'Multiplayer': 819, 'Adventure': 752, 'Third-Person Shooter': 695, 'Shooter': 652, 'Singleplayer': 611, 'Destruction': 500, 'Exploration': 454, 'Funny': 345, 'Moddable': 258, 'Co-op': 230, 'Beautiful': 190, 'Physics': 173, 'Atmospheric': 160, '3D Vision': 143, 'Comedy': 138, 'Massively Multiplayer': 89}"
8500,EVE Online,CCP,CCP,,17565,5524,0,"2,000,000 .. 5,000,000",5695,30,141,57,0,0,0,"English, German, Russian, French, Korean, Japanese","Action, Free to Play, Massively Multiplayer, RPG, Strategy",5738,"{'Space': 1434, 'Massively Multiplayer': 1085, 'Sci-fi': 666, 'Free to Play': 643, 'RPG': 627, 'Sandbox': 620, 'MMORPG': 612, 'Open World': 581, 'Strategy': 496, 'Action': 412, 'Multiplayer': 357, 'PvP': 357, 'Economy': 274, 'Space Sim': 247, 'Spaceships': 223, 'Simulation': 182, 'Difficult': 173, 'PvE': 169, 'Capitalism': 165, 'Tactical': 161}"
8850,BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,,10403,1198,0,"2,000,000 .. 5,000,000",465,467,337,467,659,1999,67,"English, French, German, Italian, Spanish - Spain",Action,58,"{'FPS': 611, 'Action': 451, 'Singleplayer': 372, 'Atmospheric': 346, 'Story Rich': 345, 'Horror': 275, 'Shooter': 270, 'First-Person': 266, 'Steampunk': 234, 'Sci-fi': 201, 'Multiplayer': 185, 'Dystopian ': 155, 'Underwater': 154, 'Adventure': 134, 'RPG': 120, 'Immersive': 108, 'Dark': 96, 'Great Soundtrack': 90, 'Philosophical': 85, 'Action RPG': 66}"
8870,BioShock Infinite,"Irrational Games, Virtual Programming (Linux)",2K,,106771,5346,0,"2,000,000 .. 5,000,000",840,501,572,536,749,2999,75,"English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Japanese, Korean, Traditional Chinese",Action,1332,"{'FPS': 2833, 'Story Rich': 2504, 'Action': 2205, 'Singleplayer': 1855, 'Steampunk': 1786, 'Atmospheric': 1640, 'Shooter': 1473, 'First-Person': 1368, 'Alternate History': 955, 'Beautiful': 948, 'Adventure': 852, 'Great Soundtrack': 742, 'Dystopian ': 697, 'Sci-fi': 540, 'Time Travel': 420, 'Fantasy': 326, 'Gore': 291, 'Linear': 277, 'RPG': 247, 'Immersive': 174}"
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,168282,6735,0,"5,000,000 .. 10,000,000",8282,981,3068,1143,2999,2999,0,"English, French, German, Italian, Spanish - Spain, Polish, Japanese, Korean, Russian, Traditional Chinese",Strategy,24843,"{'Turn-Based Strategy': 4863, 'Strategy': 4264, 'Turn-Based': 2511, 'Multiplayer': 2329, 'Historical': 2127, '4X': 1672, 'Addictive': 1625, 'Singleplayer': 1559, 'Hex Grid': 1280, 'Grand Strategy': 1004, 'Replay Value': 815, 'Co-op': 743, 'Tactical': 702, 'Economy': 692, 'Diplomacy': 651, 'Moddable': 605, 'Simulation': 581, 'Classic': 452, 'Great Soundtrack': 437, 'Touch-Friendly': 293}"
8980,Borderlands Game of the Year,Gearbox Software,2K,,26547,2842,0,"2,000,000 .. 5,000,000",1812,0,812,0,2999,2999,0,"English, French, Spanish - Spain, German, Italian","Action, RPG",154,"{'Looter Shooter': 1232, 'FPS': 1143, 'Co-op': 893, 'RPG': 889, 'Action': 792, 'Loot': 737, 'Shooter': 620, 'Online Co-Op': 542, 'First-Person': 466, 'Open World': 461, 'Comedy': 439, 'Multiplayer': 424, 'Sci-fi': 392, 'Post-apocalyptic': 353, 'Singleplayer': 329, 'Action RPG': 292, 'Funny': 280, 'Dark Humor': 260, 'Adventure': 239, 'Gore': 231}"
9200,RAGE,id Software,Bethesda Softworks,,11461,3481,0,"1,000,000 .. 2,000,000",757,0,471,0,999,999,0,"English, Czech, French, German, Italian, Japanese, Polish, Russian, Spanish - Spain",Action,149,"{'FPS': 565, 'Post-apocalyptic': 514, 'Action': 410, 'Open World': 304, 'Shooter': 293, 'Singleplayer': 209, 'First-Person': 197, 'Racing': 187, 'Co-op': 148, 'Sci-fi': 145, 'Multiplayer': 143, 'Atmospheric': 134, 'Gore': 128, 'Adventure': 126, 'RPG': 119, 'Horror': 90, 'Survival': 78, 'Crafting': 77, 'Linear': 66, 'Online Co-Op': 65}"
9340,Company of Heroes: Opposing Fronts,Relic Entertainment,SEGA,,784,64,0,"1,000,000 .. 2,000,000",235,0,61,0,1999,1999,0,English,"Action, Strategy",55,"{'Strategy': 135, 'RTS': 77, 'Action': 60, 'World War II': 60, 'Singleplayer': 32, 'Multiplayer': 31, 'Military': 31, 'Tactical': 23, 'War': 19, 'Tanks': 16, 'Base-Building': 15, 'Co-op': 12, 'Historical': 12, 'Online Co-Op': 6}"
9350,Supreme Commander,Gas Powered Games,Square Enix,,1752,217,0,"500,000 .. 1,000,000",563,0,235,0,1299,1299,0,"English, Czech, French, German, Italian, Polish, Russian, Spanish - Spain, Traditional Chinese",Strategy,112,"{'Strategy': 237, 'RTS': 187, 'Sci-fi': 134, 'Multiplayer': 89, 'Real-Time': 64, 'Real-Time with Pause': 57, 'Co-op': 56, 'Base-Building': 52, 'Singleplayer': 49, 'Robots': 31, 'Action': 28, 'Classic': 24, 'Space': 19, 'Great Soundtrack': 5}"
9420,Supreme Commander: Forged Alliance,Gas Powered Games,Square Enix,,8822,269,0,"500,000 .. 1,000,000",1865,0,1247,0,1299,1299,0,"English, French, Italian, German, Spanish - Spain, Czech, Polish, Russian, Traditional Chinese",Strategy,767,"{'Strategy': 428, 'RTS': 372, 'Sci-fi': 238, 'Multiplayer': 209, 'Singleplayer': 155, 'Grand Strategy': 150, 'Base-Building': 133, 'Co-op': 118, 'Moddable': 106, 'Real-Time with Pause': 93, 'Robots': 85, 'Competitive': 78, 'Real-Time': 70, 'Action': 58, 'Online Co-Op': 45, 'Classic': 36, 'Space': 30, 'Great Soundtrack': 29, 'Adventure': 21, 'War': 13}"
9450,"Warhammer 40,000: Dawn of War - Soulstorm",Relic Entertainment,SEGA,,10115,462,0,"1,000,000 .. 2,000,000",1115,425,347,425,1299,1299,0,"English, French, German",Strategy,1203,"{'Warhammer 40K': 299, 'Strategy': 264, 'RTS': 243, 'Base-Building': 147, 'Sci-fi': 134, 'Multiplayer': 114, 'Real-Time': 104, 'Games Workshop': 85, 'Singleplayer': 77, 'Classic': 61, 'Futuristic': 60, 'Action': 45, 'Atmospheric': 41, 'Great Soundtrack': 34, 'Gore': 29, 'Moddable': 26, 'Adventure': 19, 'Fantasy': 18, 'Memes': 14, 'Co-op': 8}"
9480,Saints Row 2,Volition,Deep Silver,,11754,3398,0,"2,000,000 .. 5,000,000",444,0,124,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Dutch, Danish, Swedish, Russian",Action,143,"{'Open World': 546, 'Action': 407, 'Character Customization': 291, 'Sandbox': 281, 'Third-Person Shooter': 259, 'Comedy': 245, 'Co-op': 227, 'Third Person': 182, 'Crime': 177, 'Singleplayer': 173, 'Online Co-Op': 150, 'Multiplayer': 140, 'Funny': 132, 'Shooter': 131, 'Co-op Campaign': 114, 'Replay Value': 109, 'Female Protagonist': 107, 'Great Soundtrack': 104, 'Moddable': 83, 'Adventure': 78}"
9880,Champions Online,Cryptic Studios,Perfect World Entertainment,,2538,1024,0,"1,000,000 .. 2,000,000",1432,32,402,32,0,0,0,English,"Free to Play, Massively Multiplayer, RPG",192,"{'Free to Play': 222, 'Superhero': 145, 'Massively Multiplayer': 139, 'RPG': 125, 'Character Customization': 123, 'MMORPG': 116, 'Open World': 79, 'Multiplayer': 69, 'Action': 67, 'Third Person': 51, 'Co-op': 37, 'Adventure': 32, 'Comic Book': 22, 'Action RPG': 20, 'Sci-fi': 18, 'Singleplayer': 17, 'Online Co-Op': 16, 'PvP': 15, 'Controller': 14, 'FPS': 11}"
9900,Star Trek Online,Cryptic Studios,Perfect World Entertainment,,11398,3148,0,"2,000,000 .. 5,000,000",3782,1307,92,1307,0,0,0,"English, French, German","Free to Play, Massively Multiplayer, RPG",1798,"{'Free to Play': 672, 'Sci-fi': 426, 'Massively Multiplayer': 414, 'Space': 400, 'RPG': 338, 'MMORPG': 326, 'Open World': 220, 'Multiplayer': 194, 'Action': 173, 'Character Customization': 166, 'Third Person': 135, 'Adventure': 125, 'PvP': 96, 'Singleplayer': 96, 'PvE': 96, 'Co-op': 95, 'Online Co-Op': 91, 'Strategy': 81, 'Action RPG': 70, 'Tactical': 68}"
10090,Call of Duty: World at War,Treyarch,Activision,,33588,2292,0,"2,000,000 .. 5,000,000",2671,32,1315,32,1499,1999,25,"English, French, Italian, German, Spanish - Spain",Action,819,"{'Zombies': 1098, 'World War II': 810, 'FPS': 807, 'Multiplayer': 723, 'Action': 709, 'Shooter': 675, 'Co-op': 600, 'Moddable': 549, 'First-Person': 549, 'Singleplayer': 544, 'War': 485, 'Online Co-Op': 449, 'Gore': 372, 'Historical': 362, 'Classic': 307, 'Survival': 298, 'Great Soundtrack': 255, 'Tanks': 252, 'Adventure': 238, 'Horror': 231}"
10180,Call of Duty: Modern Warfare 2,Infinity Ward,Activision,,39277,3140,0,"5,000,000 .. 10,000,000",972,0,568,0,1499,1999,25,"English, French, German, Italian, Spanish - Spain",Action,811,"{'Action': 1725, 'FPS': 1395, 'Multiplayer': 1191, 'Shooter': 938, 'First-Person': 775, 'Singleplayer': 654, 'War': 613, 'Military': 566, 'Co-op': 484, 'Online Co-Op': 453, 'PvP': 400, 'Great Soundtrack': 307, 'Story Rich': 262, 'Atmospheric': 212, 'Adventure': 204, 'Tactical': 190, 'Linear': 163, 'Strategy': 147, 'Moddable': 132, 'Controller': 108}"
10500,Total War: EMPIRE – Definitive Edition,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,22547,2273,0,"2,000,000 .. 5,000,000",3529,0,715,0,624,2499,75,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Czech",Strategy,4438,"{'Strategy': 1059, 'Historical': 646, 'Military': 503, 'Grand Strategy': 463, 'Turn-Based Strategy': 375, 'War': 359, 'Tactical': 279, 'RTS': 274, 'Multiplayer': 252, 'Singleplayer': 199, 'Turn-Based': 164, 'Naval': 146, 'America': 136, 'Great Soundtrack': 121, 'Real Time Tactics': 121, 'Action': 117, 'Turn-Based Tactics': 103, 'Atmospheric': 86, 'Classic': 69, 'Adventure': 65}"
10680,Aliens vs. Predator,Rebellion,SEGA,,12843,1399,0,"1,000,000 .. 2,000,000",921,0,506,0,1499,1499,0,"English, French, German, Italian, Russian, Spanish - Spain",Action,76,"{'Action': 485, 'FPS': 434, 'Aliens': 361, 'Sci-fi': 325, 'Horror': 324, 'Multiplayer': 323, 'Shooter': 258, 'Singleplayer': 242, 'First-Person': 229, 'Gore': 227, 'Stealth': 209, 'Atmospheric': 161, 'Survival': 156, 'Co-op': 148, 'Blood': 113, 'Survival Horror': 110, 'Hunting': 104, 'Adventure': 97, 'Online Co-Op': 63, 'Strategy': 43}"
11020,TrackMania Nations Forever,Nadeo,Ubisoft,,12941,1756,0,"2,000,000 .. 5,000,000",402,73,53,73,0,0,0,"English, French, German, Italian, Spanish - Spain, Portuguese, Japanese, Traditional Chinese, Korean, Slovakian, Dutch, Russian, Hungarian, Czech, Polish",Racing,1084,"{'Racing': 674, 'Free to Play': 464, 'Multiplayer': 315, 'Automobile Sim': 311, 'Singleplayer': 206, 'Level Editor': 175, 'Arcade': 147, 'Simulation': 120, 'Competitive': 116, 'Massively Multiplayer': 98, 'Controller': 95, 'Action': 84, 'Sports': 77, 'Difficult': 60, 'Sandbox': 57, 'Casual': 47, 'Adventure': 42, 'Co-op': 37, 'First-Person': 37, 'Open World': 29}"
11450,Overlord,"Triumph Studios, Virtual Programming",Codemasters,,4607,326,0,"500,000 .. 1,000,000",209,0,100,0,499,499,0,"English, French, German, Spanish - Spain",RPG,60,"{'RPG': 266, 'Villain Protagonist': 252, 'Third Person': 205, 'Comedy': 200, 'Fantasy': 194, 'Action': 194, 'Funny': 139, 'Adventure': 137, 'Singleplayer': 130, 'Dark Humor': 118, 'Action-Adventure': 83, 'Strategy': 79, 'Atmospheric': 67, 'Action RPG': 64, 'Puzzle': 47, 'RTS': 42, 'Open World': 42, 'Story Rich': 36, 'Hack and Slash': 35, 'Multiplayer': 26}"
12100,Grand Theft Auto III,Rockstar Games,Rockstar Games,,8685,1320,0,"2,000,000 .. 5,000,000",316,2349,90,4485,999,999,0,"English, French, German, Italian, Spanish - Spain",Action,159,"{'Open World': 440, 'Action': 393, 'Automobile Sim': 357, 'Classic': 269, 'Third Person': 230, 'Crime': 202, 'Singleplayer': 202, 'Sandbox': 181, 'Driving': 181, 'Shooter': 153, 'Third-Person Shooter': 132, 'Great Soundtrack': 116, 'Adventure': 112, 'Violent': 108, 'Atmospheric': 107, 'Silent Protagonist': 99, 'Mature': 87, 'Story Rich': 82, 'Multiplayer': 60, 'Moddable': 58}"
12110,Grand Theft Auto: Vice City,Rockstar Games,Rockstar Games,,19254,1511,0,"2,000,000 .. 5,000,000",1006,2,145,2,999,999,0,"English, French, German, Italian, Spanish - Spain",Action,534,"{'Open World': 642, 'Action': 554, 'Automobile Sim': 525, '1980s': 467, 'Classic': 423, 'Great Soundtrack': 370, 'Crime': 335, 'Third Person': 316, 'Singleplayer': 309, 'Sandbox': 245, 'Driving': 241, 'Atmospheric': 222, 'Third-Person Shooter': 202, 'Shooter': 197, 'Adventure': 193, 'Violent': 188, 'Mature': 162, 'Music': 149, 'Funny': 145, 'Multiplayer': 136}"
