appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
240,Counter-Strike: Source,Valve,Valve,,117512,4776,0,"10,000,000 .. 20,000,000",8244,34,544,51,999,999,0,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,6310,"{'Shooter': 5207, 'Action': 3121, 'FPS': 3080, 'Multiplayer': 2447, 'Team-Based': 1630, 'First-Person': 1431, 'Tactical': 1291, 'Competitive': 1282, 'PvP': 986, 'e-sports': 883, 'Military': 721, 'War': 627, 'Strategy': 500, 'Moddable': 471, 'Difficult': 372, 'Singleplayer': 368, 'Atmospheric': 285, 'Survival': 280, 'Simulation': 244, 'Sandbox': 202}"
280,Half-Life: Source,Valve,Valve,,6896,2329,0,"2,000,000 .. 5,000,000",505,0,152,0,999,999,0,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,52,"{'FPS': 371, 'Action': 276, 'Classic': 219, 'Sci-fi': 200, 'Singleplayer': 185, 'Shooter': 167, 'First-Person': 164, 'Aliens': 138, ""1990's"": 111, 'Zombies': 108, 'Story Rich': 106, 'Adventure': 89, 'Remake': 81, 'Atmospheric': 77, 'Horror': 50, 'Multiplayer': 49, 'Silent Protagonist': 49, 'Moddable': 38, 'Great Soundtrack': 35, 'Gore': 12}"
300,Day of Defeat: Source,Valve,Valve,,14514,1460,0,"5,000,000 .. 10,000,000",675,48,171,48,999,999,0,English,Action,578,"{'FPS': 613, 'World War II': 461, 'Multiplayer': 335, 'Action': 308, 'Shooter': 280, 'Team-Based': 227, 'Military': 227, 'War': 210, 'First-Person': 167, 'Historical': 136, 'Class-Based': 134, 'Classic': 122, 'Tactical': 106, 'Realistic': 92, 'Online Co-Op': 61, 'Strategy': 45, 'Gore': 42, 'Massively Multiplayer': 36, 'Simulation': 29, 'Comedy': 19}"
320,Half-Life 2: Deathmatch,Valve,Valve,,8531,959,0,"10,000,000 .. 20,000,000",2276,0,63,0,499,499,0,English,Action,236,"{'Action': 861, 'FPS': 477, 'Multiplayer': 399, 'Shooter': 255, 'First-Person': 237, 'Sci-fi': 178, 'Physics': 173, 'Competitive': 135, 'Funny': 103, 'Co-op': 93, 'Old School': 86, 'PvP': 59, 'Arena Shooter': 45, 'Moddable': 37, 'Atmospheric': 37, 'Adventure': 28, 'Great Soundtrack': 21, 'Singleplayer': 15, 'Online Co-Op': 9, 'Puzzle': 7}"
340,Half-Life 2: Lost Coast,Valve,Valve,,7982,1187,0,"20,000,000 .. 50,000,000",1032,0,23,0,0,0,0,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",Action,21,"{'FPS': 1010, 'Action': 350, 'Singleplayer': 296, 'First-Person': 241, 'Sci-fi': 237, 'Shooter': 214, 'Short': 208, 'Aliens': 113, 'Dystopian ': 104, 'Classic': 103, 'Adventure': 99, 'Futuristic': 86, 'Benchmark': 85, 'Atmospheric': 83, 'Silent Protagonist': 73, 'Free to Play': 54, 'Multiplayer': 37, 'Post-apocalyptic': 36, 'Story Rich': 34, 'Great Soundtrack': 29}"
360,Half-Life Deathmatch: Source,Valve,Valve,,2096,687,0,"5,000,000 .. 10,000,000",243,0,29,0,999,999,0,English,Action,14,"{'Action': 240, 'FPS': 156, 'Multiplayer': 120, 'Shooter': 94, 'Sci-fi': 84, 'First-Person': 73, 'Classic': 68, 'Remake': 23, 'Adventure': 14, 'Horror': 10, 'Competitive': 9, 'Fast-Paced': 8, 'Atmospheric': 7, 'Singleplayer': 6}"
380,Half-Life 2: Episode One,Valve,Valve,,16104,798,0,"2,000,000 .. 5,000,000",237,70,198,70,799,799,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,187,"{'FPS': 704, 'Action': 501, 'Sci-fi': 445, 'Singleplayer': 377, 'Story Rich': 290, 'First-Person': 287, 'Shooter': 278, 'Classic': 255, 'Dystopian ': 215, 'Adventure': 211, 'Aliens': 207, 'Zombies': 204, 'Episodic': 155, 'Atmospheric': 150, 'Great Soundtrack': 140, 'Silent Protagonist': 138, 'Short': 131, 'Puzzle': 105, 'Cinematic': 83, 'Moddable': 61}"
400,Portal,Valve,Valve,,87082,1441,0,"5,000,000 .. 10,000,000",435,197,178,266,999,999,0,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean",Action,632,"{'Puzzle': 3906, 'Puzzle-Platformer': 2955, '3D Platformer': 2308, 'First-Person': 2290, 'Singleplayer': 1935, 'Sci-fi': 1798, 'Comedy': 1481, 'Female Protagonist': 1378, 'Action': 979, 'Funny': 960, 'Physics': 920, 'Story Rich': 777, 'Classic': 747, 'Platformer': 740, 'Science': 676, 'FPS': 595, 'Atmospheric': 579, 'Short': 560, 'Adventure': 551, 'Dark Humor': 524}"
420,Half-Life 2: Episode Two,Valve,Valve,,23984,803,0,"5,000,000 .. 10,000,000",334,0,269,0,799,799,0,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",Action,195,"{'FPS': 885, 'Action': 649, 'Sci-fi': 540, 'Singleplayer': 473, 'Shooter': 416, 'Story Rich': 368, 'First-Person': 359, 'Classic': 333, 'Adventure': 294, 'Aliens': 273, 'Atmospheric': 242, 'Zombies': 239, 'Silent Protagonist': 222, 'Great Soundtrack': 195, 'Dystopian ': 193, 'Post-apocalyptic': 176, 'Episodic': 147, 'Puzzle': 141, 'Horror': 124, 'Multiplayer': 85}"
440,Team Fortress 2,Valve,Valve,,731534,47352,0,"50,000,000 .. 100,000,000",8499,1624,374,366,0,0,0,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian","Action, Free to Play",107116,"{'Free to Play': 60938, 'Hero Shooter': 60339, 'Multiplayer': 21475, 'FPS': 14342, 'Shooter': 11687, 'Action': 11240, 'Class-Based': 8801, 'Team-Based': 8421, 'Funny': 8262, 'First-Person': 7084, 'Online Co-Op': 6627, 'Competitive': 6510, 'Cartoony': 6502, 'Trading': 6299, 'Co-op': 5235, 'Comedy': 4661, 'Robots': 4164, 'Tactical': 3573, 'Cartoon': 3480, 'Crafting': 3342}"
500,Left 4 Dead,Valve,Valve,,31814,1356,0,"2,000,000 .. 5,000,000",849,167,182,224,999,999,0,"English, French, German, Spanish - Spain, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Swedish, Traditional Chinese, Korean",Action,554,"{'Zombies': 1993, 'Co-op': 1234, 'Multiplayer': 1073, 'FPS': 1066, 'Action': 922, 'Shooter': 735, 'Online Co-Op': 714, 'Horror': 713, 'Team-Based': 579, 'Survival': 561, 'First-Person': 542, 'Post-apocalyptic': 476, 'Singleplayer': 372, 'Atmospheric': 279, 'Adventure': 269, 'Tactical': 252, 'Moddable': 244, 'Competitive': 229, 'Replay Value': 229, 'Female Protagonist': 194}"
550,Left 4 Dead 2,Valve,Valve,,478164,13388,0,"20,000,000 .. 50,000,000",2193,250,497,80,999,999,0,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",Action,27300,"{'Zombies': 20074, 'Co-op': 10438, 'FPS': 9340, 'Multiplayer': 8470, 'Shooter': 6470, 'Action': 6226, 'Online Co-Op': 6104, 'Survival': 5086, 'Horror': 4667, 'First-Person': 4131, 'Gore': 3768, 'Team-Based': 3224, 'Survival Horror': 2619, 'Moddable': 2612, 'Post-apocalyptic': 2553, 'Singleplayer': 2057, 'Adventure': 1928, 'Local Co-Op': 1842, 'Replay Value': 1812, 'Tactical': 1778}"
570,Dota 2,Valve,Valve,,1261988,237153,0,"100,000,000 .. 200,000,000",34859,1984,925,1000,0,0,0,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Action, Free to Play, Strategy",607579,"{'Free to Play': 57827, 'MOBA': 19175, 'Multiplayer': 14407, 'Strategy': 13467, 'e-sports': 10897, 'Team-Based': 10314, 'Competitive': 7688, 'Action': 7495, 'Online Co-Op': 6973, 'PvP': 5515, 'Difficult': 4875, 'Co-op': 3894, 'RTS': 3769, 'Tower Defense': 3465, 'RPG': 3426, 'Fantasy': 3425, 'Character Customization': 2643, 'Replay Value': 2555, 'Action RPG': 2227, 'Simulation': 1757}"
620,Portal 2,Valve,Valve,,245004,3029,0,"10,000,000 .. 20,000,000",1061,85,530,82,199,199,0,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish","Action, Adventure",3250,"{'Platformer': 6994, 'Dark Humor': 6534, 'Puzzle': 6498, 'Puzzle-Platformer': 6497, 'First-Person': 6473, 'Story Rich': 6466, 'Female Protagonist': 6426, 'Funny': 6404, '3D Platformer': 6403, 'Action-Adventure': 6366, 'FPS': 6332, 'Action': 6327, 'Co-op': 4677, 'Physics': 4635, 'Level Editor': 4533, 'Sci-fi': 4471, 'Science': 4427, 'Atmospheric': 4409, 'Comedy': 4402, 'Adventure': 4388}"
630,Alien Swarm,Valve,Valve,,18635,1028,0,"2,000,000 .. 5,000,000",516,0,91,0,0,0,0,English,Action,86,"{'Free to Play': 3678, 'Co-op': 750, 'Action': 583, 'Multiplayer': 522, 'Online Co-Op': 454, 'Aliens': 453, 'Shooter': 434, 'Sci-fi': 380, 'Top-Down': 349, 'Top-Down Shooter': 315, 'Survival': 233, 'Third Person': 199, 'PvE': 195, 'Class-Based': 195, 'Team-Based': 192, 'Third-Person Shooter': 160, 'Moddable': 138, 'Singleplayer': 115, 'Strategy': 109, 'Adventure': 108}"
730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,4896633,660968,0,"50,000,000 .. 100,000,000",28906,955,7611,395,0,0,0,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","Action, Free to Play",963784,"{'FPS': 86417, 'Shooter': 61963, 'Multiplayer': 59187, 'Competitive': 50702, 'Action': 45371, 'Team-Based': 44297, 'e-sports': 41099, 'Tactical': 39519, 'First-Person': 37528, 'PvP': 32743, 'Online Co-Op': 32450, 'Co-op': 28960, 'Strategy': 28853, 'Military': 27537, 'War': 26971, 'Difficult': 25081, 'Trading': 24652, 'Realistic': 24451, 'Fast-Paced': 24444, 'Moddable': 5746}"
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,,58598,2854,0,"2,000,000 .. 5,000,000",1206,24,304,24,1999,1999,0,"English, French, Italian, German, Spanish - Spain, Hungarian, Polish, Russian",Action,361,"{'FPS': 1617, 'Zombies': 1589, 'Co-op': 1476, 'Survival': 1164, 'Horror': 1026, 'Action': 1013, 'Multiplayer': 989, 'Online Co-Op': 900, 'Gore': 764, 'Shooter': 730, 'Team-Based': 529, 'First-Person': 464, 'Survival Horror': 368, 'Moddable': 332, 'Great Soundtrack': 264, 'Class-Based': 218, 'Singleplayer': 211, 'Difficult': 208, 'Comedy': 140, 'Adventure': 136}"
